"Part";"Value";"Device";"Package";"Description";"POPULARITY";
"C1";"1.0uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C2";"1.0uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C3";"1.0uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C4";"1.0uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C5";"1.0uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C6";"1.0uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C7";"0.1uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C8";"10uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C9";"10uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C10";"10uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C11";"0.1uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C12";"10nF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C13";"0.1uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C14";"470pF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C15";"10uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C16";"10uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C17";"0.1uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C18";"10uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"";
"C22";"0.1uF";"C-EU0402-C-NOSILK";".0402-C-NOSILK";"CAPACITOR, European symbol";"";
"C23";"100PF";"C-EU0402-C-NOSILK";".0402-C-NOSILK";"CAPACITOR, European symbol";"";
"C24";"100PF";"C-EU0402-C-NOSILK";".0402-C-NOSILK";"CAPACITOR, European symbol";"";
"C25";"100PF";"C-EU0402-C-NOSILK";".0402-C-NOSILK";"CAPACITOR, European symbol";"";
"C26";"100PF";"C-EU0402-C-NOSILK";".0402-C-NOSILK";"CAPACITOR, European symbol";"";
"C27";"4.7nf";"C-EU0402-C-NOSILK";".0402-C-NOSILK";"CAPACITOR, European symbol";"";
"C28";"220nf";"C-EU0402-C-NOSILK";".0402-C-NOSILK";"CAPACITOR, European symbol";"";
"JP1";"";"PINHD-1X12";"1X12";"PIN HEADER";"28";
"OSC_IN";"142-0701-851";"142-0701-851";"142-0701-851";"SMA Jack";"";
"PLL_LOCK";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"26";
"R1";"0";"R-US_0402-C-NOSILK";".0402-C-NOSILK";"RESISTOR, American symbol";"";
"R2";"50";"R-US_0402-C-NOSILK";".0402-C-NOSILK";"RESISTOR, American symbol";"";
"R3";"330";"R-US_0603-B-NOSILK";".0603-B-NOSILK";"RESISTOR, American symbol";"";
"R4";"50";"R-US_0402-C-NOSILK";".0402-C-NOSILK";"RESISTOR, American symbol";"";
"R5";"50";"R-US_0402-C-NOSILK";".0402-C-NOSILK";"RESISTOR, American symbol";"";
"R6";"100";"R-US_0402-C-NOSILK";".0402-C-NOSILK";"RESISTOR, American symbol";"";
"R7";"0";"R-US_0402-C-NOSILK";".0402-C-NOSILK";"RESISTOR, American symbol";"";
"RF_A";"142-0701-851";"142-0701-851";"142-0701-851";"SMA Jack";"";
"RF_B";"142-0701-851";"142-0701-851";"142-0701-851";"SMA Jack";"";
"SYS_REF";"142-0701-851";"142-0701-851";"142-0701-851";"SMA Jack";"";
"U$1";"LMX2572_QFN";"LMX2572_QFN";"LMX2572_QFN";"";"";
"X1";"ECS-TXO-3225";"ECS-TXO-3225";"3.2X2.5";"HCMOS TCXO";"";
